,batch_id,mae_train,rmse_train,mae_test,rmse_test
0,0,120.36792951339557,143.13733896583872,37.55717054850982,47.58910005007645
1,1,119.3153540960458,151.5503442916713,100.10773462300962,107.56254106086648
2,2,111.80189250147819,146.42588759066237,130.12094615206124,130.77846062820555
3,3,94.88597747605813,118.01940539372639,81.22569608648364,83.62668715046863
4,4,82.5351372016802,113.76495423272307,46.950195250846136,56.673283230267415
5,5,53.435309253652626,70.80424738628041,78.1054133152466,84.73281614030402
6,6,41.612810715408976,52.430544424614,203.68545837455804,228.40894649733585
7,7,62.762662477550926,95.31497835153816,238.1631635125278,239.79215851540204
8,8,95.73357860197189,119.2213761007346,344.9708026150003,355.84126052389047
9,9,123.54950661755728,157.75728108212772,581.3016474067932,598.1176888038583
10,10,160.18974148455808,217.1323741452934,1481.4715018198287,1545.7342653777398
11,11,117.78657432104981,172.53294853050178,905.3526036238352,1041.1655456517537
12,12,129.71993405954942,229.00093725444242,1145.2844073221252,1551.3794003083638
13,13,286.79602824527694,593.7620473952002,365.6591538490887,455.08192235545687
14,14,341.57685733218767,607.1018886804999,335.9674189813753,413.86653545872406
15,15,378.98378985480116,611.1187474526603,249.89062729894422,286.03454306113537
16,16,392.00464715158785,620.1053285517864,185.7952828509744,211.14667556262972
17,17,366.70997648477305,609.6206035817485,599.5451700890385,780.337766205735
18,18,271.50383984752864,389.328673322763,388.41318083585384,515.8367842515397
19,19,255.0201339714208,383.4507157940144,259.2805038364245,332.4699943399553
20,20,243.03295936398854,369.25742800359194,382.1272529988604,528.5526625243106
21,21,288.0166766741369,420.1577208943908,301.10605305882893,393.0301619935302
22,22,332.5709799418099,464.5859749303341,602.3532728721741,833.4317524150302
23,23,316.8045216977441,458.6463270039114,5652.554028531945,7141.502824031449
24,24,542.0272711354968,1055.479868307607,2827.6357971360876,3290.0259453574763
25,25,907.0581159149166,1530.6065417369975,1681.5044906203893,2101.1658450407867
