time,open,high,low,close
2017-08-17T00:00:00Z,4261.48,4485.39,4200.74,4285.08
2017-08-18T00:00:00Z,4285.08,4371.52,3938.77,4108.37
2017-08-19T00:00:00Z,4108.37,4184.69,3850,4139.98
2017-08-20T00:00:00Z,4120.98,4211.08,4032.62,4086.29
2017-08-21T00:00:00Z,4069.13,4119.62,3911.79,4016
2017-08-22T00:00:00Z,4016,4104.82,3400,4040
2017-08-23T00:00:00Z,4040,4265.8,4013.89,4114.01
2017-08-24T00:00:00Z,4147,4371.68,4085.01,4316.01
2017-08-25T00:00:00Z,4316.01,4453.91,4247.48,4280.68
2017-08-26T00:00:00Z,4280.71,4367,4212.41,4337.44
2017-08-27T00:00:00Z,4332.51,4400,4285.54,4310.01
2017-08-28T00:00:00Z,4310.01,4399.82,4124.54,4386.69
2017-08-29T00:00:00Z,4353.65,4625.85,4313.55,4587.48
2017-08-30T00:00:00Z,4564.52,4647.51,4416.01,4555.14
2017-08-31T00:00:00Z,4555.14,4745.42,4555.14,4724.89
2017-09-01T00:00:00Z,4689.89,4885.55,4654.88,4834.91
2017-09-02T00:00:00Z,4796.16,4939.19,4286.87,4472.14
2017-09-03T00:00:00Z,4508.5,4714.76,4298.33,4509.08
2017-09-04T00:00:00Z,4505,4527.49,3972.51,4100.11
2017-09-05T00:00:00Z,4106.97,4484.99,3603,4366.47
2017-09-06T00:00:00Z,4366.49,4662.87,4335.26,4619.77
2017-09-07T00:00:00Z,4619.77,4788.59,4438.19,4691.61
2017-09-08T00:00:00Z,4691.66,4735.39,4028.93,4282.8
2017-09-09T00:00:00Z,4282.8,4426.62,4150.06,4258.81
2017-09-10T00:00:00Z,4258.81,4283,3801,4130.37
2017-09-11T00:00:00Z,4153.62,4334.43,4098.91,4208.47
2017-09-12T00:00:00Z,4208.6,4394.59,4040.8,4163.72
2017-09-13T00:00:00Z,4159.72,4165.38,3760,3944.69
2017-09-14T00:00:00Z,3944,3993,3165.13,3189.02
2017-09-15T00:00:00Z,3188.01,3856,2817,3700
2017-09-16T00:00:00Z,3674.01,3950,3470.66,3714.95
2017-09-17T00:00:00Z,3685.23,3748.21,3499.02,3699.99
2017-09-18T00:00:00Z,3690,4123.2,3690,4035.01
2017-09-19T00:00:00Z,4060,4089.97,3830.91,3910.04
2017-09-20T00:00:00Z,3910.04,4046.08,3820,3900
2017-09-21T00:00:00Z,3889.99,3910,3567,3609.99
2017-09-22T00:00:00Z,3592.84,3750,3505.55,3595.87
2017-09-23T00:00:00Z,3595.88,3817.19,3542.91,3780
2017-09-24T00:00:00Z,3779.54,3789.99,3622.76,3660.02
2017-09-25T00:00:00Z,3660.02,3979.87,3653.69,3920.75
2017-09-26T00:00:00Z,3928,3976.99,3850.05,3882.35
2017-09-27T00:00:00Z,3882.36,4249.94,3872.81,4193
2017-09-28T00:00:00Z,4192.11,4300,4101,4174.5
2017-09-29T00:00:00Z,4178.98,4263.86,3952.01,4174.69
2017-09-30T00:00:00Z,4175,4380,4138.1,4378.51
2017-10-01T00:00:00Z,4378.49,4406.52,4240.04,4378.48
2017-10-02T00:00:00Z,4400,4561.63,4360,4380
2017-10-03T00:00:00Z,4380,4467.33,4180.8,4310
2017-10-04T00:00:00Z,4314.9,4373,4142,4208.59
2017-10-05T00:00:00Z,4208.59,4355,4110,4292.43
2017-10-06T00:00:00Z,4318.99,4417,4292,4369
2017-10-07T00:00:00Z,4369,4479.5,4312.56,4423
2017-10-08T00:00:00Z,4425,4658,4425,4640
2017-10-09T00:00:00Z,4640,4889.98,4550,4786.95
2017-10-10T00:00:00Z,4786.95,4960,4680.59,4783.06
2017-10-11T00:00:00Z,4783.06,4881.61,4710,4821.43
2017-10-12T00:00:00Z,4821.43,5439.99,4810.16,5430
2017-10-13T00:00:00Z,5439.99,5846.17,5379.84,5649.98
2017-10-14T00:00:00Z,5650,5900,5580.01,5869.99
2017-10-15T00:00:00Z,5855.03,5922.3,5400.01,5709.99
2017-10-16T00:00:00Z,5710,5788.91,5585.19,5760.02
2017-10-17T00:00:00Z,5760,5774.98,5508.63,5595
2017-10-18T00:00:00Z,5595,5596,5037.95,5512.06
2017-10-19T00:00:00Z,5513,5710,5490.26,5683.9
2017-10-20T00:00:00Z,5683.31,6110,5600,6010.01
2017-10-21T00:00:00Z,6013.72,6171,5850.03,6024.97
2017-10-22T00:00:00Z,6003.27,6060,5720.03,5950.02
2017-10-23T00:00:00Z,5975,6080,5621.03,5915.93
2017-10-24T00:00:00Z,5909.47,5925,5450,5477.03
2017-10-25T00:00:00Z,5506.92,5704.96,5286.98,5689.99
2017-10-26T00:00:00Z,5670.1,5939.99,5650,5861.77
2017-10-27T00:00:00Z,5861.77,5980,5649.24,5768.83
2017-10-28T00:00:00Z,5768.79,5850.02,5630.03,5719.64
2017-10-29T00:00:00Z,5709.98,6189.88,5648.01,6169.98
2017-10-30T00:00:00Z,6133.01,6248.68,6030,6120.5
2017-10-31T00:00:00Z,6120.52,6498.01,6100,6463
2017-11-01T00:00:00Z,6463,6774.67,6338.02,6753.98
2017-11-02T00:00:00Z,6753.98,7300,6685.1,7019.98
2017-11-03T00:00:00Z,7010.31,7346.34,6923,7115.04
2017-11-04T00:00:00Z,7115.02,7480.99,6901,7357.09
2017-11-05T00:00:00Z,7357.27,7590.25,7279.02,7345.01
2017-11-06T00:00:00Z,7345.1,7401,6906,6960.12
2017-11-07T00:00:00Z,6981.72,7198.49,6901,7064.04
2017-11-08T00:00:00Z,7070,7770.02,6651,7303
2017-11-09T00:00:00Z,7303.01,7392,7015,7079.99
2017-11-10T00:00:00Z,7079,7279.91,6255.01,6506.98
2017-11-11T00:00:00Z,6503,6797.98,6100,6245.05
2017-11-12T00:00:00Z,6245.05,6630,5325.01,5811.03
2017-11-13T00:00:00Z,5839.94,6697.47,5699.99,6465.99
2017-11-14T00:00:00Z,6465.99,6684.98,6311.07,6574.99
2017-11-15T00:00:00Z,6575.99,7298,6575.99,7240.06
2017-11-16T00:00:00Z,7240.14,7940,7076,7864.5
2017-11-17T00:00:00Z,7876.98,7989,7451,7699.19
2017-11-18T00:00:00Z,7680.01,7819.99,7422,7761.94
2017-11-19T00:00:00Z,7761.94,8123.15,7650.33,8038
2017-11-20T00:00:00Z,8057.11,8319.99,7954,8212
2017-11-21T00:00:00Z,8212.49,8400,7801,8119.51
2017-11-22T00:00:00Z,8091.09,8322.68,8091.09,8205.92
2017-11-23T00:00:00Z,8233.03,8260,8000,8019.99
2017-11-24T00:00:00Z,8019.97,8369,7850,8138
2017-11-25T00:00:00Z,8138.99,8734.78,8090,8700.01
2017-11-26T00:00:00Z,8700.04,9350,8604.72,9128.02
2017-11-27T00:00:00Z,9128,9654.28,9112.04,9650
2017-11-28T00:00:00Z,9650,9939,9570.5,9896.8
2017-11-29T00:00:00Z,9896.79,11300.03,8520,9687.88
2017-11-30T00:00:00Z,9687.88,10900,8850.8,9838.96
2017-12-01T00:00:00Z,9837,10898,9380,10782.99
2017-12-02T00:00:00Z,10775.04,11190,10620,10890.01
2017-12-03T00:00:00Z,10902.69,11825,10500,11165.41
2017-12-04T00:00:00Z,11165.41,11616,10802,11616
2017-12-05T00:00:00Z,11608,11853,11447.68,11699.99
2017-12-06T00:00:00Z,11698,13615.23,11665.58,13545.53
2017-12-07T00:00:00Z,13545.53,16649.96,13050,16533.11
2017-12-08T00:00:00Z,16552.9,17204.99,14015,15880
2017-12-09T00:00:00Z,15880,16269.3,12535,14699.97
2017-12-10T00:00:00Z,14699.97,15720.12,12368,14946.26
2017-12-11T00:00:00Z,14901.08,17470,14901.08,16560.02
2017-12-12T00:00:00Z,16560.04,16976.45,15875,16350
2017-12-13T00:00:00Z,16350,16546,14666.56,16020.42
2017-12-14T00:00:00Z,16046.58,16445,15450,16340
2017-12-15T00:00:00Z,16339.99,17991,16300.06,17516.81
2017-12-16T00:00:00Z,17516.81,19539,17190.01,19102.66
2017-12-17T00:00:00Z,19102.66,19798.68,18510,18860.02
2017-12-18T00:00:00Z,18865,19300,17029.98,18856.25
2017-12-19T00:00:00Z,18856.25,18950,16300,17295.2
2017-12-20T00:00:00Z,17295.2,17720.35,14777.66,16488.98
2017-12-21T00:00:00Z,16480.52,17309.5,14022,15492.64
2017-12-22T00:00:00Z,15514.03,15699.34,10961,13326.61
2017-12-23T00:00:00Z,13326.61,14950,12978.18,13300
2017-12-24T00:00:00Z,13300,13819.99,11640,13500
2017-12-25T00:00:00Z,13500,14300,12708,13699.34
2017-12-26T00:00:00Z,13699.34,16050,13533,15689.01
2017-12-27T00:00:00Z,15709.98,16498.05,14200.15,15459.99
2017-12-28T00:00:00Z,15459.97,15539.99,13150,14182.11
2017-12-29T00:00:00Z,14199.14,14981,13850,14378.9
2017-12-30T00:00:00Z,14378.99,14398.85,11750,12440.01
2017-12-31T00:00:00Z,12345.1,14050.11,12149.98,13716.36
2018-01-01T00:00:00Z,13715.65,13818.55,12750,13380
2018-01-02T00:00:00Z,13382.16,15473.49,12890.02,14675.11
2018-01-03T00:00:00Z,14690,15307.56,14150,14919.51
2018-01-04T00:00:00Z,14919.51,15280,13918.04,15059.54
2018-01-05T00:00:00Z,15059.56,17176.24,14600,16960.39
2018-01-06T00:00:00Z,16960.39,17143.13,16011.21,17069.79
2018-01-07T00:00:00Z,17069.79,17099.96,15610,16150.03
2018-01-08T00:00:00Z,16218.85,16322.3,12812,14902.54
2018-01-09T00:00:00Z,14902.54,15500,14011.05,14400
2018-01-10T00:00:00Z,14401,14955.66,13131.31,14907.09
2018-01-11T00:00:00Z,14940,14968.68,11400,13238.78
2018-01-12T00:00:00Z,13238.76,14109.78,12500,13740.01
2018-01-13T00:00:00Z,13749.95,14580,13706.15,14210
2018-01-14T00:00:00Z,14210,14339.5,12569.2,13474.99
2018-01-15T00:00:00Z,13477.98,14249.99,13147.79,13539.93
2018-01-16T00:00:00Z,13500,13542.93,9035,10900
2018-01-17T00:00:00Z,10899.99,11680.99,9037.94,10988.79
2018-01-18T00:00:00Z,10972.59,11878.82,10435.33,10961.97
